index,keyword,view,menu,checkout,order,keyword_lower,item_id,cuisine_tag,item_name,item_price,merchant_id,item_name_lower
549,duck confit,13987,2739,1602,141,duck confit,33,French,Duck Confit,14.75,2f3d7,duck confit
567,falafel wrap,27051,6143,2709,230,falafel wrap,34,Mediterranean,Falafel Wrap,7.5,d1e9b,falafel wrap
584,blueberry pancakes,38267,9594,5771,508,blueberry pancakes,35,Breakfast,Blueberry Pancakes,6.75,3c7e9,blueberry pancakes
600,strawberry frosted donut,35289,8066,3411,220,strawberry frosted donut,36,Dessert,Strawberry Frosted Donut,2.0,3b7f0,strawberry frosted donut
616,stuffed grape leaves,10885,2321,1118,56,stuffed grape leaves,37,Side,Stuffed Grape Leaves,4.0,6a9c1,stuffed grape leaves
631,jeera rice,12457,4454,2331,104,jeera rice,38,Indian,Jeera Rice,2.75,b2d8e,jeera rice
647,grilled asparagus,564,89,22,1,grilled asparagus,39,Side,Grilled Asparagus,4.0,4a3e6,grilled asparagus
662,garlic butter shrimp,36254,13404,8539,435,garlic butter shrimp,40,Seafood,Garlic Butter Shrimp,12.0,a6c9f,garlic butter shrimp
677,nutella banana waffle,4866,960,487,34,nutella banana waffle,41,Breakfast,Nutella Banana Waffle,7.5,5d9e3,nutella banana waffle
693,chicken tikka masala,16301,3304,1431,86,chicken tikka masala,42,Indian,Chicken Tikka Masala,10.5,b2d8e,chicken tikka masala
693,chicken tikka masala,16301,3304,1431,86,chicken tikka masala,194,Indian,Chicken Tikka Masala,10.5,6a0c3,chicken tikka masala
709,lamb curry,13767,3315,2073,87,lamb curry,43,Indian,Lamb Curry,11.75,6a0c3,lamb curry
726,plum soda,46163,14746,4497,383,plum soda,44,Beverage,Plum Soda,2.75,3d9c8,plum soda
743,ebi tempura roll,21806,7154,2390,181,ebi tempura roll,45,Japanese,Ebi Tempura Roll,7.25,8f2a6,ebi tempura roll
761,spinach & strawberry salad,45071,13387,4012,193,spinach & strawberry salad,46,Healthy,Spinach & Strawberry Salad,8.25,9f6b0,spinach & strawberry salad
776,caprese baguette,25664,5064,3195,198,caprese baguette,47,American,Caprese Baguette,7.75,0c6e4,caprese baguette
791,seared tuna steak,18058,3246,1046,81,seared tuna steak,48,Contemporary,Seared Tuna Steak,14.0,4a3e6,seared tuna steak
809,bbq ribs full rack,28573,8792,2876,125,bbq ribs full rack,49,BBQ,BBQ Ribs Full Rack,18.0,e8c2b,bbq ribs full rack
826,chai latte,33010,8649,4889,321,chai latte,50,Beverage,Chai Latte,3.0,8b7a3,chai latte
845,spicy pork belly bbq,36755,6196,1820,160,spicy pork belly bbq,51,Korean,Spicy Pork Belly BBQ,13.0,c5a8e,spicy pork belly bbq
862,spicy chicken burrito,1848,675,372,23,spicy chicken burrito,52,Mexican,Spicy Chicken Burrito,8.75,9f4a2,spicy chicken burrito
877,jasmine tea pot,31464,4886,2806,191,jasmine tea pot,53,Tea,Jasmine Tea Pot,2.5,7d4e1,jasmine tea pot
894,beef & onion dumplings (8),25226,7437,1865,125,beef & onion dumplings (8),54,Chinese,Beef & Onion Dumplings (8),6.25,b0e7f,beef & onion dumplings (8)
909,spicy salmon poke,31330,7046,1950,164,spicy salmon poke,55,Hawaiian,Spicy Salmon Poke,10.75,4a7c1,spicy salmon poke
924,lentil shepherd’s pie,48562,17648,11937,712,lentil shepherd’s pie,56,Vegetarian,Lentil Shepherd’s Pie,9.0,9a8c5,lentil shepherd’s pie
940,mac & cheese,49899,18913,7899,379,mac & cheese,57,Side,Mac & Cheese,3.5,e8c2b,mac & cheese
957,bacon mushroom burger,45426,13315,3581,297,bacon mushroom burger,58,Burgers,Bacon Mushroom Burger,8.5,2e8a5,bacon mushroom burger
971,chicago dog,32565,11817,3511,282,chicago dog,59,American,Chicago Dog,4.5,d3b6a,chicago dog
986,roasted veggie salad bowl,13122,5073,3342,265,roasted veggie salad bowl,60,Healthy,Roasted Veggie Salad Bowl,8.25,4d9f1,roasted veggie salad bowl
1002,california roll,49375,11088,6052,455,california roll,61,Japanese,California Roll,6.5,8f2a6,california roll
1018,barbacoa soft tacos,30254,9744,3457,320,barbacoa soft tacos,62,Mexican,Barbacoa Soft Tacos,7.75,a5c3b,barbacoa soft tacos
1033,sautéed mushrooms,47721,12757,7589,287,sautéed mushrooms,63,Side,Sautéed Mushrooms,3.25,4c9a2,sautéed mushrooms
1049,potato wedges,7124,1387,792,57,potato wedges,64,Side,Potato Wedges,3.0,0c2d7,potato wedges
1064,spicy chicken teriyaki,31619,9174,3560,202,spicy chicken teriyaki,65,Japanese,Spicy Chicken Teriyaki,9.0,3d9c8,spicy chicken teriyaki
1077,chocolate chip pancakes,44123,16891,11049,801,chocolate chip pancakes,66,Breakfast,Chocolate Chip Pancakes,6.75,3c7e9,chocolate chip pancakes
1092,vegan black bean burger,40061,6170,3558,226,vegan black bean burger,67,Burgers,Vegan Black Bean Burger,8.0,0c5d8,vegan black bean burger
1106,garlic parmesan wings (6 pcs),12262,2726,1213,59,garlic parmesan wings (6 pcs),68,American,Garlic Parmesan Wings (6 pcs),7.75,8d5f9,garlic parmesan wings (6 pcs)
1120,birria quesa tacos,31131,11991,7887,599,birria quesa tacos,69,Mexican,Birria Quesa Tacos,9.25,7d3c1,birria quesa tacos
1134,grilled chicken shawarma plate,24986,4014,1616,100,grilled chicken shawarma plate,70,Mediterranean,Grilled Chicken Shawarma Plate,9.25,8e9a0,grilled chicken shawarma plate
1147,vegetable chow mein,34714,5923,1938,118,vegetable chow mein,71,Asian,Vegetable Chow Mein,8.0,1a3f7,vegetable chow mein
1162,spicy turkey chili,23592,6680,1712,81,spicy turkey chili,72,Tex-Mex,Spicy Turkey Chili,7.0,9d5f2,spicy turkey chili
1177,beer-battered haddock,40322,14058,5910,285,beer-battered haddock,73,Seafood,Beer-Battered Haddock,11.0,9b4c2,beer-battered haddock
1192,mini donuts,24173,3773,2212,162,mini donuts,74,Dessert,Mini Donuts,4.0,5c1f8,mini donuts
1208,truffle burger,45062,13225,6193,486,truffle burger,75,Burgers,Truffle Burger,11.0,4e2d1,truffle burger
1223,pickled cabbage,21513,8273,2124,98,pickled cabbage,76,Side,Pickled Cabbage,2.0,7f2c1,pickled cabbage
1240,pineapple fried rice,28441,9191,5736,568,pineapple fried rice,77,Thai,Pineapple Fried Rice,9.25,f1c7a,pineapple fried rice
1254,green curry with jasmine rice,11710,1766,545,32,green curry with jasmine rice,78,Thai,Green Curry with Jasmine Rice,9.5,7a8e0,green curry with jasmine rice
1268,rainbow slaw,19076,5347,2148,161,rainbow slaw,79,Side,Rainbow Slaw,3.25,9a8c5,rainbow slaw
1284,margherita personal pizza,920,202,112,7,margherita personal pizza,80,Italian,Margherita Personal Pizza,7.5,3f7e4,margherita personal pizza
1294,classic cheese pizza,13869,4889,3019,241,classic cheese pizza,17,Italian,Classic Cheese Pizza,8.0,7c5b9,classic cheese pizza
1298,fried shrimp dumplings (6),2787,462,245,10,fried shrimp dumplings (6),81,Chinese,Fried Shrimp Dumplings (6),6.5,b0e7f,fried shrimp dumplings (6)
1313,lamb rogan josh,17374,6362,4226,262,lamb rogan josh,82,Indian,Lamb Rogan Josh,11.0,b9e8c,lamb rogan josh
1328,butter chicken,28763,4712,1594,77,butter chicken,83,Indian,Butter Chicken,10.25,a3e8b,butter chicken
1344,smoked salmon bagel,26642,9112,4936,307,smoked salmon bagel,84,Breakfast,Smoked Salmon Bagel,7.0,3e2b6,smoked salmon bagel
1357,kombucha,47120,9749,4253,244,kombucha,85,Beverage,Kombucha,3.75,5b3d8,kombucha
1373,falafel & couscous bowl,28957,9115,4771,255,falafel & couscous bowl,86,Mediterranean,Falafel & Couscous Bowl,8.75,1f5b7,falafel & couscous bowl
1387,sangria (non-alcoholic),28230,4588,2189,145,sangria (non-alcoholic),87,Beverage,Sangria (non-alcoholic),3.5,2a3e9,sangria (non-alcoholic)
1402,coconut water,3511,669,198,15,coconut water,88,Beverage,Coconut Water,3.5,3b1c6,coconut water
1419,classic french toast,7304,1802,699,45,classic french toast,89,Breakfast,Classic French Toast,6.5,6f1c4,classic french toast
1434,cherry pie,40976,13234,3653,146,cherry pie,90,Dessert,Cherry Pie,4.75,9c8e2,cherry pie
1449,cheesy breadsticks,15537,2542,1030,40,cheesy breadsticks,91,Side,Cheesy Breadsticks,4.0,3f7e4,cheesy breadsticks
1464,tempura udon,49269,17324,6894,647,tempura udon,92,Japanese,Tempura Udon,8.25,5b8d2,tempura udon
1479,house special pho,27580,8358,5067,444,house special pho,93,Vietnamese,House Special Pho,9.75,c8d3e,house special pho
1495,pancit sotanghon,49917,18254,9052,680,pancit sotanghon,94,Filipino,Pancit Sotanghon,8.25,8f7c2,pancit sotanghon
1510,spicy miso ramen,30248,9770,4916,353,spicy miso ramen,95,Japanese,Spicy Miso Ramen,9.75,4f0c5,spicy miso ramen
1525,gourmet grilled cheese,34136,6978,2455,175,gourmet grilled cheese,96,Contemporary,Gourmet Grilled Cheese,8.0,b0a4f,gourmet grilled cheese
1538,breakfast burrito,2293,388,179,17,breakfast burrito,97,Mexican,Breakfast Burrito,7.5,9f4a2,breakfast burrito
1552,classic bagel with cream cheese,19944,4240,1657,133,classic bagel with cream cheese,98,Breakfast,Classic Bagel with Cream Cheese,4.5,3e2b6,classic bagel with cream cheese
1567,salmon teriyaki,43295,15538,10123,980,salmon teriyaki,99,Japanese,Salmon Teriyaki,10.0,3d9c8,salmon teriyaki
1581,chili cheese dog,10929,2902,1179,105,chili cheese dog,100,American,Chili Cheese Dog,5.0,a4f0b,chili cheese dog
1583,chili dog,4146,1457,621,45,chili dog,28,Tex-Mex,Chili Dog,6.75,6d0f7,chili dog
1594,classic fish & chips,13876,3626,1901,130,classic fish & chips,101,Seafood,Classic Fish & Chips,10.0,5f1d3,classic fish & chips
1594,classic fish & chips,13876,3626,1901,130,classic fish & chips,147,Seafood,Classic Fish & Chips,10.5,9b4c2,classic fish & chips
1609,spicy jalapeno burger,6283,2357,947,39,spicy jalapeno burger,102,Burgers,Spicy Jalapeno Burger,9.0,4e2d1,spicy jalapeno burger
1624,spicy tuna roll,30213,9355,5833,431,spicy tuna roll,103,Japanese,Spicy Tuna Roll,7.5,b3e8f,spicy tuna roll
1639,superfood power bowl,27133,7133,2244,216,superfood power bowl,104,Healthy,Superfood Power Bowl,9.75,9f6b0,superfood power bowl
1654,pho bo (beef noodle soup),47272,7699,5342,266,pho bo (beef noodle soup),105,Vietnamese,Pho Bo (Beef Noodle Soup),9.0,1d4f2,pho bo (beef noodle soup)
1669,volcano roll,43989,8717,2394,87,volcano roll,106,Japanese,Volcano Roll,8.75,a9f4e,volcano roll
1684,guacamole & chips,5529,2022,978,62,guacamole & chips,107,Side,Guacamole & Chips,3.5,9f4a2,guacamole & chips
1698,vegetable biryani,36020,11463,7080,328,vegetable biryani,108,Indian,Vegetable Biryani,8.75,a3e8b,vegetable biryani
1712,pancit malabon,48618,16202,7328,280,pancit malabon,109,Filipino,Pancit Malabon,9.0,f7d1a,pancit malabon
1726,guacamole,44041,9652,4038,339,guacamole,110,Side,Guacamole,2.5,a5c3b,guacamole
1741,vanilla custard donut,23110,4610,1280,56,vanilla custard donut,111,Dessert,Vanilla Custard Donut,2.5,3b7f0,vanilla custard donut
1755,soy braised beef noodles,35510,10605,3786,198,soy braised beef noodles,112,Asian,Soy Braised Beef Noodles,9.75,9b5a0,soy braised beef noodles
1768,pork siu mai,37336,12002,6074,254,pork siu mai,113,Chinese,Pork Siu Mai,5.0,0e1f9,pork siu mai
1782,mango pudding,43883,12512,6149,378,mango pudding,114,Dessert,Mango Pudding,3.5,0e1f9,mango pudding
1796,pancit canton with chicken,18034,3391,1037,91,pancit canton with chicken,115,Filipino,Pancit Canton with Chicken,8.0,f7d1a,pancit canton with chicken
1809,bagel with peanut butter & banana,7278,2183,857,85,bagel with peanut butter & banana,116,Breakfast,Bagel with Peanut Butter & Banana,4.75,2b5d7,bagel with peanut butter & banana
1821,cookies & cream donut,37874,6158,1674,91,cookies & cream donut,117,Dessert,Cookies & Cream Donut,2.75,3b7f0,cookies & cream donut
1834,truffle mac & cheese,41524,13858,7621,443,truffle mac & cheese,118,Contemporary,Truffle Mac & Cheese,9.5,b0a4f,truffle mac & cheese
1846,banana nut french toast,9778,3546,1271,71,banana nut french toast,119,Breakfast,Banana Nut French Toast,7.75,6f1c4,banana nut french toast
1857,garlic bread,2230,398,171,13,garlic bread,120,Side,Garlic Bread,3.0,d4f0a,garlic bread
1870,grilled salmon fillet,33068,5595,2255,132,grilled salmon fillet,121,Seafood,Grilled Salmon Fillet,13.0,a6c9f,grilled salmon fillet
1884,turnip cake,1446,311,208,14,turnip cake,122,Chinese,Turnip Cake,4.25,7d4e1,turnip cake
1898,cornbread,45558,12924,4466,185,cornbread,123,Side,Cornbread,2.5,7c1a9,cornbread
1912,taco salad bowl,14275,4047,2715,207,taco salad bowl,124,Mexican,Taco Salad Bowl,8.25,7d3c1,taco salad bowl
1926,miso soup,21892,4935,2191,109,miso soup,125,Side,Miso Soup,2.5,b3e8f,miso soup
1926,miso soup,21892,4935,2191,109,miso soup,370,Side,Miso Soup,2.25,7f4d2,miso soup
1939,coq au vin,46374,7061,4818,212,coq au vin,126,French,Coq au Vin,13.5,2f3d7,coq au vin
1951,ham & cheese bagel melt,8116,2751,1861,70,ham & cheese bagel melt,127,Breakfast,Ham & Cheese Bagel Melt,5.5,2b5d7,ham & cheese bagel melt
1963,house salad,49503,11250,2933,209,house salad,128,Side,House Salad,3.75,6f5a0,house salad
1976,tartar sauce,11270,3761,2432,153,tartar sauce,129,Side,Tartar Sauce,0.75,9b4c2,tartar sauce
1990,dragon roll,26110,5525,1701,113,dragon roll,130,Japanese,Dragon Roll,9.25,b3e8f,dragon roll
2004,fried chicken wings (yangnyeom),26126,5367,1519,134,fried chicken wings (yangnyeom),131,Korean,Fried Chicken Wings (Yangnyeom),8.75,2d7a9,fried chicken wings (yangnyeom)
2018,pumpkin pie,20226,5877,2871,185,pumpkin pie,132,Dessert,Pumpkin Pie,5.0,8b7a3,pumpkin pie
2032,tofu veggie rice bowl,8197,2504,747,27,tofu veggie rice bowl,133,Asian,Tofu Veggie Rice Bowl,8.25,7f4d2,tofu veggie rice bowl
2046,chana masala,10226,1766,520,47,chana masala,134,Indian,Chana Masala,8.25,b2d8e,chana masala
2060,vegetarian ramen,35840,7618,2081,195,vegetarian ramen,135,Japanese,Vegetarian Ramen,8.75,2f7b5,vegetarian ramen
2073,classic beef hot dog,43100,8118,3628,183,classic beef hot dog,136,American,Classic Beef Hot Dog,4.0,a4f0b,classic beef hot dog
2086,onion rings,35650,8976,4189,352,onion rings,137,Side,Onion Rings,3.25,0c5d8,onion rings
2100,shrimp har gow,2791,816,556,51,shrimp har gow,138,Chinese,Shrimp Har Gow,5.5,0e1f9,shrimp har gow
2113,shrimp pho,26799,4415,1265,99,shrimp pho,139,Vietnamese,Shrimp Pho,10.0,c8d3e,shrimp pho
2126,veggie shawarma bowl,19035,5303,2765,250,veggie shawarma bowl,140,Mediterranean,Veggie Shawarma Bowl,8.25,1c2e6,veggie shawarma bowl
2139,vegetarian red curry,38542,7177,2318,185,vegetarian red curry,141,Thai,Vegetarian Red Curry,8.75,7a8e0,vegetarian red curry
2152,latte,33168,7620,3659,151,latte,142,Beverage,Latte,3.0,0e7a4,latte
2168,grilled corn on the cob,18714,7402,2849,212,grilled corn on the cob,143,BBQ,Grilled Corn on the Cob,3.0,e8c2b,grilled corn on the cob
2182,mashed potatoes with gravy,38561,8534,5752,474,mashed potatoes with gravy,144,Side,Mashed Potatoes with Gravy,3.25,0e1b3,mashed potatoes with gravy
2194,pickled ginger,4439,1079,655,62,pickled ginger,145,Side,Pickled Ginger,1.5,a9f4e,pickled ginger
2209,paratha,27229,7490,4142,197,paratha,146,Side,Paratha,2.5,2a9c5,paratha
2224,classic fish & chips,9688,2357,624,21,classic fish & chips,101,Seafood,Classic Fish & Chips,10.0,5f1d3,classic fish & chips
2224,classic fish & chips,9688,2357,624,21,classic fish & chips,147,Seafood,Classic Fish & Chips,10.5,9b4c2,classic fish & chips
2236,four cheese pizza,37104,13078,5475,425,four cheese pizza,148,Italian,Four Cheese Pizza,9.75,4b1d7,four cheese pizza
2248,maple bacon donut,18424,5297,3643,131,maple bacon donut,149,Dessert,Maple Bacon Donut,2.75,e9a1c,maple bacon donut
2260,strawberries & cream waffle,5973,1446,933,92,strawberries & cream waffle,150,Breakfast,Strawberries & Cream Waffle,7.25,e3b2d,strawberries & cream waffle
2272,baklava,38519,14255,8495,785,baklava,151,Dessert,Baklava,3.5,8e9a0,baklava
2285,hot chocolate,37754,10445,5267,402,hot chocolate,152,Beverage,Hot Chocolate,2.75,3b7f0,hot chocolate
2300,everything bagel,8831,3511,1636,73,everything bagel,153,Breakfast,Everything Bagel,3.5,2b5d7,everything bagel
2312,lamb shawarma wrap,39122,13377,7030,521,lamb shawarma wrap,154,Mediterranean,Lamb Shawarma Wrap,9.25,1a5f4,lamb shawarma wrap
2324,rasgulla,34332,8170,4286,422,rasgulla,155,Dessert,Rasgulla,3.25,b2d8e,rasgulla
2337,kimchi,48070,8520,2660,187,kimchi,156,Side,Kimchi,2.0,c5a8e,kimchi
2350,pulled pork sandwich,47245,18175,7564,577,pulled pork sandwich,157,BBQ,Pulled Pork Sandwich,9.0,2a1c4,pulled pork sandwich
2361,chicken shawarma wrap,11779,3612,1307,52,chicken shawarma wrap,158,Mediterranean,Chicken Shawarma Wrap,8.5,1c2e6,chicken shawarma wrap
2372,beef kabob platter,7477,2356,1617,111,beef kabob platter,159,Mediterranean,Beef Kabob Platter,11.5,1f5b7,beef kabob platter
2384,southwest chicken salad,13225,4260,2713,113,southwest chicken salad,160,Healthy,Southwest Chicken Salad,8.75,6d8e2,southwest chicken salad
2396,smoked sausage platter,35640,8681,4698,244,smoked sausage platter,161,BBQ,Smoked Sausage Platter,11.0,e8c2b,smoked sausage platter
2409,boneless wings combo,41517,8551,3590,329,boneless wings combo,162,American,Boneless Wings Combo,8.25,6c3f2,boneless wings combo
2421,thai iced tea,47393,15692,9712,527,thai iced tea,163,Beverage,Thai Iced Tea,3.25,f1c7a,thai iced tea
2434,detox green juice,38188,12298,3168,186,detox green juice,164,Beverage,Detox Green Juice,4.0,6d8e2,detox green juice
2446,whipped cream scoop,19203,3097,1423,114,whipped cream scoop,165,Side,Whipped Cream Scoop,1.25,9c8e2,whipped cream scoop
2459,red bean sesame balls,2745,1013,427,30,red bean sesame balls,166,Dessert,Red Bean Sesame Balls,3.25,b0e7f,red bean sesame balls
2471,spring rolls (2 pcs),46520,17861,10590,564,spring rolls (2 pcs),167,Side,Spring Rolls (2 pcs),3.25,b7a3e,spring rolls (2 pcs)
2483,spicy bbq wings (6 pcs),34162,11583,7352,666,spicy bbq wings (6 pcs),168,American,Spicy BBQ Wings (6 pcs),7.5,6c3f2,spicy bbq wings (6 pcs)
2494,crinkle cut fries,19457,6038,2653,231,crinkle cut fries,169,Side,Crinkle Cut Fries,2.75,a4f0b,crinkle cut fries
2507,baked beans,35391,12235,8284,706,baked beans,178,Side,Baked Beans,2.75,f8a3d,baked beans
2520,berry almond salad,9118,1911,1127,107,berry almond salad,170,Healthy,Berry Almond Salad,9.25,6d8e2,berry almond salad
2533,brisket pho,38199,10704,4121,150,brisket pho,177,Vietnamese,Brisket Pho,9.25,c8d3e,brisket pho
2545,bulgogi beef platter,46568,16137,6229,572,bulgogi beef platter,175,Korean,Bulgogi Beef Platter,12.5,c5a8e,bulgogi beef platter
2558,carnitas tacos,47115,7956,4452,255,carnitas tacos,173,Mexican,Carnitas Tacos,7.5,f3b8d,carnitas tacos
2570,chicken teriyaki poke bowl,34038,9221,4323,333,chicken teriyaki poke bowl,171,Hawaiian,Chicken Teriyaki Poke Bowl,9.5,4a7c1,chicken teriyaki poke bowl
2582,chirashi don,3405,1088,652,49,chirashi don,172,Japanese,Chirashi Don,12.0,a9f4e,chirashi don
2595,key lime pie,11214,3300,1443,60,key lime pie,180,Dessert,Key Lime Pie,5.0,9c8e2,key lime pie
2607,lentil & beetroot salad,24053,4025,1216,66,lentil & beetroot salad,176,Healthy,Lentil & Beetroot Salad,8.5,6d8e2,lentil & beetroot salad
2619,roast beef & cheddar sandwich,7758,2178,1462,79,roast beef & cheddar sandwich,179,American,Roast Beef & Cheddar Sandwich,8.25,8a2c6,roast beef & cheddar sandwich
2629,savory bacon & egg waffle,32415,10218,3085,176,savory bacon & egg waffle,174,Breakfast,Savory Bacon & Egg Waffle,8.25,5d9e3,savory bacon & egg waffle
2640,baked beans,18637,6448,2954,152,baked beans,178,Side,Baked Beans,2.75,f8a3d,baked beans
2653,brisket pho,3987,1388,359,34,brisket pho,177,Vietnamese,Brisket Pho,9.25,c8d3e,brisket pho
2665,key lime pie,17187,5947,3509,320,key lime pie,180,Dessert,Key Lime Pie,5.0,9c8e2,key lime pie
2677,lentil & beetroot salad,25187,7428,3046,256,lentil & beetroot salad,176,Healthy,Lentil & Beetroot Salad,8.5,6d8e2,lentil & beetroot salad
2689,roast beef & cheddar sandwich,48614,7803,5295,372,roast beef & cheddar sandwich,179,American,Roast Beef & Cheddar Sandwich,8.25,8a2c6,roast beef & cheddar sandwich
2699,bbq tempeh salad,24419,7787,3341,260,bbq tempeh salad,188,Healthy,BBQ Tempeh Salad,8.75,9f6b0,bbq tempeh salad
2711,chicken dumplings (8),39689,13016,4625,185,chicken dumplings (8),190,Chinese,Chicken Dumplings (8),6.0,b0e7f,chicken dumplings (8)
2723,classic belgian waffle,29244,4517,1255,94,classic belgian waffle,186,Breakfast,Classic Belgian Waffle,6.5,e3b2d,classic belgian waffle
2735,crepe ice cream roll,10828,1935,605,57,crepe ice cream roll,184,Dessert,Crepe Ice Cream Roll,5.5,e7a2f,crepe ice cream roll
2747,honey mustard dressing,41278,14358,8240,540,honey mustard dressing,182,Dressing,Honey Mustard Dressing,0.75,4d9f1,honey mustard dressing
2758,lemon iced tea,45007,17926,7825,645,lemon iced tea,181,Beverage,Lemon Iced Tea,2.75,5f1d3,lemon iced tea
2771,nachos with salsa,19847,4551,2781,207,nachos with salsa,183,Side,Nachos with Salsa,4.0,b4a8f,nachos with salsa
2784,potato chips,3177,1087,459,31,potato chips,189,Side,Potato Chips,2.0,0c6e4,potato chips
2796,spicy pork rice bowl,13060,3677,1117,97,spicy pork rice bowl,187,Asian,Spicy Pork Rice Bowl,9.25,d6e4a,spicy pork rice bowl
2807,steak burrito,23640,5669,2062,189,steak burrito,185,Mexican,Steak Burrito,9.0,9f4a2,steak burrito
2819,al pastor tacos,13387,4113,2394,163,al pastor tacos,211,Mexican,Al Pastor Tacos,7.75,7d3c1,al pastor tacos
2828,gambas al ajillo (garlic shrimp),12054,2591,703,52,gambas al ajillo (garlic shrimp),213,Spanish,Gambas al Ajillo (Garlic Shrimp),7.5,2a3e9,gambas al ajillo (garlic shrimp)
2837,garlic mashed potatoes,11240,3723,1756,87,garlic mashed potatoes,206,Side,Garlic Mashed Potatoes,4.0,a1b5e,garlic mashed potatoes
